lesson_id,lesson_title,question_type,question,expected_topics
1,What is Varonis Atlas?,check_question,In your own words, what is the main security problem that Atlas is designed to solve?,"shadow AI, data leakage, compliance, AI attacks, visibility, governance"
1,What is Varonis Atlas?,follow_up,Can you give me a real-world example of data leakage through an AI tool?,"sensitive data, LLM, prompt, AI Gateway, block, detect"
1,What is Varonis Atlas?,follow_up,What is the difference between AI Inventory and AI Usage?,"AI Inventory, AI Usage, shadow AI, sanctioned, unsanctioned, ZTNA"
2,Atlas Architecture Overview,check_question,Why does Atlas run the proxy on the customer plane rather than in Varonis infrastructure?,"data privacy, customer plane, sensitive data, Varonis infrastructure, prompt, proxy"
2,Atlas Architecture Overview,follow_up,What is the difference between the control plane and the customer plane in Atlas?,"control plane, customer plane, Varonis-managed, customer-deployed, proxy"
3,The AI Gateway,check_question,"A customer's application currently calls https://api.openai.com/v1. What do they need to change to route traffic through Atlas?","base URL, proxy URL, Atlas gateway, endpoint, route, change"
3,The AI Gateway,follow_up,What happens to a prompt when the AI Gateway applies a MODIFY action?,"MODIFY, redact, rewrite, prompt, sensitive, before"
4,"Policy Types: WARN, BLOCK, MODIFY",check_question,A customer wants to prevent prompt injection attacks but still wants to see what was attempted. Which actions would you recommend and why?,"BLOCK, WARN, input, prompt injection, audit, log, visibility"
4,"Policy Types: WARN, BLOCK, MODIFY",follow_up,What is the difference between synchronous and asynchronous policy processing in Atlas?,"synchronous, asynchronous, BLOCK, MODIFY, WARN, real-time, inline"
5,AI Inventory & AI Usage,check_question,"A CISO asks: how do I know if employees are using unauthorized AI tools like personal ChatGPT accounts? Which Atlas application answers this, and how?","AI Usage, ZTNA, shadow AI, unsanctioned, visibility, employees"
5,AI Inventory & AI Usage,follow_up,How does Atlas discover AI models and libraries in a customer's cloud environment?,"AI Inventory, cloud, scan, models, libraries, endpoints, discover"
6,Guardrails & Built-in Rules,check_question,Which Atlas rule would you recommend first for a customer worried about employees accidentally leaking sensitive data through an AI chatbot?,"PII, detection, guardrail, input guard, block, sensitive data, DLP"
6,Guardrails & Built-in Rules,follow_up,What are Agentic Guardrails and why do they matter for AI workflow tools like n8n?,"agentic, guardrails, AI agents, workflow, automated, tool calls, multi-step"
6,Guardrails & Built-in Rules,follow_up,What is the OWASP LLM Top 10 policy template in Atlas?,"OWASP, LLM Top 10, template, quick start, prompt injection, policy"
7,AI Observability & Audit Trail,check_question,"A customer's legal team wants a complete audit trail of every prompt sent to their AI chatbot for the past 90 days. Which Atlas component provides this, and where is that data stored?","AI Observability, audit trail, OpenSearch, customer data plane, AWS, logs, prompts, responses"
7,AI Observability & Audit Trail,follow_up,"What is the default data retention period for the AI Observability layer, and can it be changed?","retention, 3 months, 6 months, S3, index, configurable, customer request"
8,AI 360 Dashboard,check_question,"A CISO asks for a single dashboard showing their organization's complete AI risk posture. What do you show them in Atlas, and what key risk categories does it surface?","AI 360, risk posture, dashboard, findings, risk categories, unified view"
8,AI 360 Dashboard,follow_up,How does AI 360 aggregate data from across the Atlas platform?,"AI 360, aggregate, AI Inventory, AI Usage, AI Gateway, AI SPM, findings, unified"
9,AI Security Posture Management,check_question,"A customer says they want to know if any of their AI Python libraries have known CVEs. Which Atlas application handles this, and how does it discover and report those vulnerabilities?","AI SPM, CVE, library, vulnerability, scan, issues, posture"
9,AI Security Posture Management,follow_up,What is LLM penetration testing in Atlas and what does it test for?,"LLM pentest, penetration testing, prompt injection, jailbreak, adversarial, vulnerabilities, endpoint"
10,AI Incidents & Issues,check_question,"After deploying Atlas, a security analyst sees a new Shadow AI issue in the dashboard. What does that mean, and what are the two most likely causes?","Shadow AI, unreviewed, unsanctioned, issue, inventory, unapproved, resource"
10,AI Incidents & Issues,follow_up,How can Atlas Issues be integrated with an organization's existing security tools like Splunk or ServiceNow?,"SIEM, Splunk, ServiceNow, integration, issues, alerts, workflow"
11,Compliance & TPRM,check_question,A financial services customer says they need to demonstrate AI governance controls for their upcoming SOC 2 audit. Which Atlas applications and features would you highlight and what evidence can Atlas provide?,"AI Compliance, audit trail, AI Observability, guardrails, governance, evidence, controls, compliance"
11,Compliance & TPRM,follow_up,What is TPRM in the context of Atlas and why does it matter for AI security?,"TPRM, third party, vendor, risk, AI vendors, assessment, supply chain"
12,Putting It All Together,check_question,Walk me through how you would open an Atlas conversation with a financial services CISO who tells you their developers are using AI coding assistants but the security team has no visibility into what data is being shared.,"AI Usage, AI Gateway, data leakage, visibility, guardrails, audit trail, credentials, PII, discovery"
12,Putting It All Together,follow_up,What is the recommended Atlas deployment sequence for a new customer — which application do you start with and why?,"AI Usage, discovery, WARN, baseline, AI Gateway, guardrails, phased, deployment"
13,Prompt Data Privacy & Encryption,check_question,"A CISO asks: if a guardrail fires and blocks a prompt containing employee PII, does Varonis have access to that PII? Walk me through exactly where that data goes and who can see it.","Control Plane, Data Plane, AES-256, encrypted, Prompt Reader, RBAC, Varonis, access"
13,Prompt Data Privacy & Encryption,follow_up,What encryption and key management options does Atlas provide for stored prompt data?,"AES-256, BYOK, AWS KMS, customer-managed, encryption, key management"
14,Competitive Positioning,check_question,A prospect says they already have Wiz and feel their AI security needs are covered. How do you respond?,"Wiz, CSPM, codebase, runtime, compliance, TPRM, purpose-built, AI SPM"
14,Competitive Positioning,follow_up,"What are the three main competitive categories Atlas faces, and how does Atlas differentiate from each?","AI TRiSM, AI SPM, CSPM, runtime protection, lifecycle, inventory, compliance"
15,Deployment Deep Dive & CI/CD,check_question,"A DevOps team asks: can Atlas automatically test our LLM endpoints every time we push a code change, without requiring a manual security review? How does that work?","GitHub Action, Azure DevOps, CI/CD, pen test, LLM endpoint, automated, pipeline"
15,Deployment Deep Dive & CI/CD,follow_up,"What are the three ways to deploy the Atlas AI Gateway, and when would you use each?","NGINX, proxy, SDK, Python, Kong, Apigee, API gateway, Docker"
16,Objection Handling Masterclass,check_question,"A security-conscious CTO asks: we run our AI workloads in Azure, not AWS — can Atlas even work for us? How do you answer this, and what roadmap context is relevant?","Azure, Data Plane, AWS, roadmap, Q2 2026, cloud, deployment"
